date,open,high,close,low,volume,amount
2015-01-11,5.66,5.66,5.29,4.59,58552808.0,801191822.0
2015-01-18,4.82,4.97,4.66,4.56,74829640.0,1002197568.0
2015-01-25,4.59,4.95,4.8,4.44,66531566.0,889672968.0
2015-02-01,4.77,4.86,4.62,4.62,34714407.0,468680528.0
2015-02-08,4.66,5.21,4.89,4.62,58786399.0,822719312.0
2015-02-15,4.91,5.12,5.03,4.91,31511563.0,446094216.0
2015-02-22,5.01,5.6,5.43,5.01,19209577.0,287189416.0
2015-03-01,5.42,5.52,5.44,5.3,21794847.0,332740048.0
2015-03-08,5.44,5.58,5.28,5.15,34576542.0,522895448.0
2015-03-15,5.27,5.47,5.37,5.21,31109605.0,473814200.0
2015-03-22,5.33,5.92,5.91,5.32,73814011.0,1180526240.0
2015-03-29,6.03,6.79,6.4,5.65,90951945.0,1575425872.0
2015-04-05,6.4,6.68,6.53,6.14,67799635.0,1227718896.0
2015-04-12,6.58,6.79,6.65,6.11,60818394.0,1132977264.0
2015-04-19,6.66,7.28,6.93,6.48,90987614.0,1769606768.0
2015-04-26,6.84,10.37,10.13,6.45,87000488.0,1728145728.0
2015-05-03,10.38,11.23,11.13,9.74,68806866.0,1545689664.0
2015-05-10,11.13,12.02,11.38,10.54,55918236.0,1315903168.0
2015-05-17,11.55,14.99,14.06,11.17,81584267.0,2307950944.0
2015-05-24,14.0,15.09,14.63,13.46,53224052.0,1604997184.0
2015-05-31,14.62,16.87,13.96,12.97,81672355.0,2594487712.0
2015-06-07,14.18,16.04,15.39,13.63,55633277.0,1762034656.0
2015-06-14,15.56,16.6,15.14,15.09,59343254.0,1971164448.0
2015-06-21,15.16,15.44,12.37,12.37,41089304.0,1210163584.0
2015-06-28,12.37,12.72,10.4,10.4,28864555.0,718558112.0
2015-07-05,10.4,10.65,7.19,7.19,56195304.0,1040978224.0
2015-07-12,7.91,7.91,6.48,6.48,10203471.0,150504608.0
2015-09-27,4.41,6.44,5.14,4.41,154669788.0,2454349760.0
2015-10-04,5.04,5.97,5.41,4.84,63189782.0,1003535184.0
2015-10-11,5.68,5.75,5.57,5.4,30618353.0,496279888.0
2015-10-18,5.62,6.52,6.38,5.59,131827090.0,2324490464.0
2015-10-25,6.49,6.64,6.4,5.81,120992480.0,2208663808.0
2015-11-01,6.43,6.45,5.84,5.62,72809940.0,1269956992.0
2015-11-08,5.72,5.95,5.89,5.4,57087067.0,947717608.0
2015-11-15,5.87,6.53,6.33,5.8,95790468.0,1734874016.0
2015-11-22,6.34,6.72,6.49,6.09,64308967.0,1186475456.0
2015-11-29,6.55,7.09,6.11,6.1,85496743.0,1656567872.0
2015-12-06,6.11,7.01,7.01,5.54,83766703.0,1552652560.0
2015-12-13,7.07,7.42,6.71,6.59,93971802.0,1887213504.0
2015-12-20,6.71,7.51,7.39,6.65,34633911.0,716128800.0
2016-11-13,8.65,10.63,9.65,8.45,291442763.0,7655169565.0
2016-11-20,9.4,9.54,8.28,8.23,185021503.0,4465292000.0
2016-11-27,8.99,9.99,8.17,7.99,238082902.0,5839881047.0
2016-12-04,8.08,8.36,7.08,6.83,123815064.0,2542875620.0
2016-12-11,6.87,7.38,7.17,6.83,87808104.0,1697915590.0
2016-12-18,7.16,17.2,16.63,6.17,113595174.0,2057676435.0
