date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,5.83,5.91,5.67,5.64,0.0,-0.16,-2.74,6.042,6.32,6.473,0.0,221915.99,387571.84,0.0
2017-12-08,6.19,6.2,5.83,5.72,0.0,-0.36,-5.82,6.23,6.41,6.516,32142.06,258106.34,429239.33,0.0
2017-12-01,6.19,6.25,6.19,6.1,0.0,-0.03,-0.48,6.346,6.498,6.542,97877.29,316140.29,448400.54,0.0
2017-11-24,6.22,6.34,6.22,6.01,0.0,-0.08,-1.27,6.416,6.558,6.556,169892.11,398425.21,470965.57,0.0
2017-11-17,6.63,6.77,6.3,6.13,0.0,-0.31,-4.69,6.498,6.598,6.566,335153.72,452391.84,538282.62,0.0
2017-11-10,6.4,6.78,6.61,6.39,160710.31,0.2,3.12,6.598,6.625,6.589,443831.97,485729.76,591527.93,1.65
2017-11-03,6.51,6.55,6.41,6.31,328676.16,-0.13,-1.99,6.59,6.623,6.579,484070.62,501854.92,600312.94,3.38
2017-10-27,6.67,6.68,6.54,6.5,360074.09,-0.09,-1.36,6.65,6.654,6.585,534403.29,530332.81,609508.44,3.96
2017-10-20,6.77,7.2,6.63,6.53,826308.06,-0.17,-2.5,6.7,6.658,6.575,626958.3,550968.09,601650.62,9.09
2017-10-13,6.64,6.84,6.8,6.59,543391.25,0.23,3.5,6.698,6.65,6.568,569629.96,524398.39,581216.79,5.98
2017-09-29,6.7,6.71,6.57,6.5,361903.56,-0.14,-2.09,6.652,6.625,6.553,527627.55,553227.69,571916.95,3.98
2017-09-22,6.76,6.88,6.71,6.63,580339.5,-0.08,-1.18,6.656,6.622,6.869,519639.22,600372.32,563540.07,6.38
2017-09-15,6.61,6.91,6.79,6.61,822849.12,0.17,2.57,6.658,6.585,7.17,526262.32,580660.79,541980.64,9.05
2017-09-08,6.57,6.76,6.62,6.52,539666.38,0.05,0.76,6.616,6.553,7.472,474977.88,543505.94,509918.98,5.94
2017-09-01,6.59,6.68,6.57,6.5,333379.19,-0.02,-0.3,6.602,6.534,7.807,479166.82,624173.4,492879.56,3.67
2017-08-25,6.75,6.76,6.59,6.51,321961.91,-0.13,-1.94,6.598,6.553,8.165,578827.83,697326.1,494582.87,3.54
2017-08-18,6.55,6.91,6.72,6.55,613455.0,0.14,2.13,6.588,6.535,8.512,681105.41,698770.95,485342.48,6.75
2017-08-11,6.53,6.77,6.58,6.52,566426.94,0.03,0.46,6.512,6.516,8.841,635059.27,688684.07,466278.09,6.23
2017-08-04,6.6,6.77,6.55,6.5,560611.06,0.0,0.0,6.49,6.491,9.202,612034.0,652333.16,463454.0,6.17
2017-07-28,6.51,6.88,6.55,6.49,831684.25,0.01,0.15,6.466,6.486,9.579,769179.99,638035.19,446584.71,9.15
2017-07-21,6.31,6.72,6.54,5.9,833349.81,0.2,3.15,6.508,6.48,9.955,815824.36,590606.2,421698.48,9.17
2017-07-14,6.45,6.45,6.34,6.3,383224.28,-0.13,-2.01,6.482,7.116,10.324,716436.49,526707.82,393293.98,4.22
2017-07-07,6.43,6.53,6.47,6.4,451300.59,0.04,0.62,6.52,7.754,10.709,742308.87,503300.48,391477.06,4.96
2017-06-30,6.6,6.75,6.43,6.37,1346341.0,-0.33,-4.88,6.492,8.39,11.085,692632.31,476332.01,389535.64,14.81
2017-06-23,6.45,6.96,6.76,6.33,1064906.12,0.35,5.46,6.506,9.079,11.455,506890.39,361585.73,332868.0,11.71
2017-06-16,6.53,6.54,6.41,6.33,336410.44,-0.12,-1.84,6.452,9.777,11.798,365388.04,291839.64,280612.86,3.7
2017-06-09,6.34,6.69,6.53,6.26,512586.22,0.2,3.16,7.75,10.489,12.161,336979.15,271914.02,269661.09,5.64
2017-06-02,6.55,6.6,6.33,6.2,202917.78,-0.17,-2.62,8.988,11.166,12.508,264292.08,243872.1,256093.15,2.23
2017-05-26,6.49,6.83,6.5,6.16,417631.38,0.01,0.15,10.288,11.912,12.907,260031.71,274574.84,258546.89,4.59
2017-05-19,6.46,6.66,6.49,6.23,357394.38,-6.41,-49.69,11.652,12.671,13.307,216281.06,255134.24,249140.1,3.93
2017-05-12,12.72,13.18,12.9,12.51,194365.97,0.18,1.42,13.102,13.43,13.688,218291.24,252790.76,242390.33,4.5
2017-05-05,12.83,13.19,12.72,12.72,149150.89,-0.11,-0.86,13.228,13.531,13.76,206848.89,259880.15,245189.71,3.45
2017-04-28,13.37,13.39,12.83,12.35,181615.91,-0.49,-3.68,13.344,13.664,13.848,223452.13,279653.64,265001.18,4.2
2017-04-21,13.75,14.05,13.32,13.3,198878.16,-0.42,-3.06,13.536,13.78,14.003,289117.98,302739.27,304449.21,4.6
2017-04-14,13.53,14.05,13.74,13.25,367445.28,0.21,1.55,13.69,13.831,14.129,293987.41,304150.27,361621.21,8.5
2017-04-07,13.32,13.73,13.53,13.32,137154.23,0.23,1.73,13.758,13.819,14.21,287290.27,269386.07,372939.24,3.17
2017-03-31,13.83,13.84,13.3,13.2,232167.06,-0.49,-3.55,13.834,13.832,14.29,312911.4,267408.16,396557.17,5.37
2017-03-24,14.3,14.61,13.79,13.58,509945.19,-0.3,-2.13,13.984,13.85,14.38,335855.16,268314.19,403155.25,11.8
2017-03-17,14.11,14.26,14.09,13.88,223225.28,0.01,0.07,14.024,13.902,14.433,316360.55,242518.93,383837.52,5.16
2017-03-10,13.86,14.29,14.08,13.86,333959.59,0.17,1.22,13.972,13.942,14.482,314313.13,243145.97,391191.97,7.73
2017-03-03,14.0,14.13,13.91,13.82,265259.88,-0.14,-1.0,13.88,13.946,14.534,251481.87,231989.91,395969.92,6.14
2017-02-24,14.06,14.36,14.05,13.96,346885.84,0.06,0.43,13.83,13.988,14.59,221904.92,230499.28,399816.83,8.02
2017-02-17,13.81,14.46,13.99,13.76,412472.16,0.16,1.16,13.716,14.032,14.623,200773.23,250348.72,393806.06,9.54
2017-02-10,13.76,13.97,13.83,13.49,212988.19,0.21,1.54,13.78,14.225,14.667,168677.31,306159.16,402394.09,4.93
2017-02-03,13.68,13.79,13.62,13.57,19803.3,-0.04,-0.29,13.912,14.426,14.705,171978.81,419092.15,399311.15,0.46
2017-01-26,13.52,13.7,13.66,13.41,117375.11,0.18,1.33,14.012,14.6,14.784,212497.95,476492.4,417089.03,2.72
2017-01-20,13.35,13.82,13.48,13.22,241227.39,-0.83,-5.8,14.146,14.747,14.845,239093.63,525706.17,423614.71,5.58
2017-01-12,14.4,14.66,14.31,14.21,251992.58,-0.18,-1.24,14.348,14.909,14.926,299924.22,537996.31,429844.7,5.83
2017-01-06,14.19,14.52,14.49,14.1,229495.67,0.37,2.62,14.67,14.964,14.977,443641.0,525156.12,439980.49,5.31
2016-12-30,14.28,14.56,14.12,14.05,222399.02,-0.21,-1.47,14.94,15.022,14.999,666205.49,539237.98,444131.5,5.15
2016-12-23,14.5,14.71,14.33,14.32,250353.5,-0.16,-1.1,15.188,15.122,15.03,740486.85,559949.92,449246.75,5.79
2016-12-16,15.86,15.86,14.49,14.15,545380.31,-1.43,-8.98,15.348,15.191,15.063,812318.71,569134.38,467788.46,12.62
2016-12-09,15.67,16.38,15.92,15.65,970576.5,0.08,0.51,15.47,15.214,15.161,776068.4,537263.4,477731.29,22.46
2016-12-02,15.3,16.3,15.84,15.11,1342318.12,0.48,3.12,15.258,15.109,15.202,606671.23,498629.02,482722.22,31.06
